country,year,suicides_no
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
Austria,2013,1291
Austria,2014,1314
Austria,2015,1251
Azerbaijan,2007,55
Bahamas,2005,4
Bahamas,2006,2
Bahamas,2007,5
Bahamas,2008,4
Bahamas,2009,6
Bahamas,2010,10
Bahamas,2011,4
Bahamas,2012,5
Bahamas,2013,5
Bahrain,2005,42
Bahrain,2006,28
Bahrain,2007,40
Bahrain,2008,43
Bahrain,2009,36
Bahrain,2010,19
Bahrain,2011,18
Bahrain,2012,19
Bahrain,2013,5
Bahrain,2014,9
Barbados,2005,1
Barbados,2006,9
Barbados,2007,0
Barbados,2008,1
Barbados,2009,5
Barbados,2010,3
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Belarus,2007,2659
Belarus,2008,2658
Belarus,2009,2743
Belarus,2010,2459
Belarus,2011,2172
Belarus,2013,1902
Belarus,2014,1741
Belgium,2005,2029
Belgium,2006,1935
Belgium,2007,1857
Belgium,2008,1999
Belgium,2009,2013
Belgium,2010,2013
Belgium,2011,2088
Belgium,2012,2026
Belgium,2013,1895
Belgium,2014,1899
Belgium,2015,1867
Belize,2005,12
Belize,2006,11
Belize,2007,8
Belize,2008,11
Belize,2009,15
Belize,2010,15
Belize,2011,33
Belize,2012,18
Belize,2013,17
Belize,2014,24
Belize,2015,26
Bosnia and Herzegovina,2011,5
Bosnia and Herzegovina,2014,313
Brazil,2005,8529
Brazil,2006,8618
Brazil,2007,8855
Brazil,2008,9184
Brazil,2009,9346
Brazil,2010,9429
Brazil,2011,9822
Brazil,2012,10295
Brazil,2013,10513
Brazil,2014,10631
Brazil,2015,11163
Bulgaria,2005,982
Bulgaria,2006,977
Bulgaria,2007,902
Bulgaria,2008,939
Bulgaria,2009,868
Bulgaria,2010,859
Bulgaria,2011,763
Bulgaria,2012,872
Bulgaria,2013,721
Bulgaria,2014,724
Cabo Verde,2011,42
Canada,2005,3743
Canada,2006,3512
Canada,2007,3611
Canada,2008,3705
Canada,2009,3890
Canada,2010,3951
Canada,2011,3728
Canada,2012,3926
Canada,2013,4054
Chile,2005,1682
Chile,2006,1795
Chile,2007,1848
Chile,2008,2088
Chile,2009,2148
Chile,2010,2001
Chile,2011,2027
Chile,2012,1841
Chile,2013,1738
Chile,2014,1789
Chile,2015,1838
Colombia,2005,2102
Colombia,2006,2177
Colombia,2007,2181
Colombia,2008,2220
Colombia,2009,2249
